iter	Passed	Remaining
0	2	2555
1	3	1967
2	5	1917
3	8	2041
4	11	2357
5	13	2220
6	18	2626
7	24	3049
8	28	3146
9	30	2998
10	32	2915
11	33	2792
12	35	2682
13	40	2835
14	43	2846
15	47	2911
16	48	2826
17	50	2750
18	53	2780
19	56	2763
20	60	2830
21	63	2819
22	69	2945
23	72	2967
24	75	2932
25	77	2918
26	79	2858
27	81	2840
28	88	2964
29	94	3068
30	105	3307
31	111	3359
32	112	3299
33	114	3267
34	116	3205
35	118	3172
36	120	3130
37	122	3112
38	124	3061
39	132	3172
40	136	3202
41	141	3230
42	145	3242
43	151	3293
44	153	3263
45	158	3277
46	159	3237
47	160	3190
48	163	3167
49	165	3144
50	166	3101
51	171	3123
52	176	3145
53	180	3165
54	182	3138
55	185	3132
56	187	3104
57	191	3115
58	193	3084
59	194	3050
60	196	3032
61	204	3091
62	210	3131
63	212	3106
64	219	3153
65	226	3208
66	228	3179
67	235	3223
68	241	3260
69	248	3295
70	252	3297
71	256	3300
72	257	3266
73	258	3234
74	262	3232
75	263	3206
76	270	3237
77	276	3265
78	277	3237
79	279	3208
80	284	3229
81	286	3203
82	288	3188
83	293	3205
84	301	3241
85	304	3240
86	308	3242
87	310	3217
88	317	3249
89	318	3223
90	322	3216
91	325	3208
92	330	3219
93	335	3233
94	339	3231
95	345	3250
96	346	3226
97	350	3226
98	356	3243
99	359	3238
100	361	3214
101	364	3208
102	372	3241
103	375	3238
104	378	3224
105	383	3230
106	386	3224
107	387	3201
108	388	3179
109	390	3159
110	391	3139
111	393	3117
112	394	3095
113	400	3110
114	404	3112
115	406	3094
116	408	3086
117	412	3080
118	415	3074
119	418	3066
120	423	3076
121	425	3059
122	430	3069
123	432	3057
124	436	3054
125	438	3039
126	440	3025
127	442	3017
128	444	2999
129	445	2982
130	447	2966
131	449	2953
132	451	2941
133	453	2932
134	460	2948
135	465	2957
136	471	2971
137	474	2965
138	480	2979
139	486	2990
140	488	2976
141	489	2959
142	491	2944
143	496	2953
144	498	2941
145	502	2940
146	508	2948
147	509	2934
148	513	2930
149	514	2914
150	517	2912
151	523	2919
152	527	2919
153	528	2903
154	530	2893
155	532	2878
156	535	2875
157	539	2875
158	543	2872
159	545	2862
160	548	2858
161	551	2850
162	555	2853
163	559	2854
164	560	2838
165	565	2841
166	570	2843
167	571	2829
168	577	2837
169	580	2833
170	583	2830
171	586	2824
172	588	2811
173	590	2805
174	592	2793
175	595	2786
176	596	2772
177	597	2760
178	598	2747
179	601	2739
180	602	2726
181	605	2721
182	607	2710
183	609	2700
184	610	2688
185	611	2675
186	616	2679
187	620	2681
188	622	2669
189	623	2658
190	625	2650
191	627	2641
192	629	2632
193	634	2634
194	635	2623
195	637	2613
196	640	2609
197	644	2611
198	646	2603
199	650	2603
200	652	2595
201	653	2583
202	657	2581
203	658	2570
204	661	2564
205	664	2563
206	669	2566
207	673	2562
208	674	2553
209	675	2542
210	677	2531
211	678	2522
212	684	2529
213	687	2526
214	691	2524
215	694	2520
216	695	2509
217	697	2500
218	703	2507
219	704	2498
220	706	2490
221	710	2490
222	713	2484
223	716	2482
224	719	2477
225	720	2467
226	725	2470
227	729	2468
228	731	2463
229	733	2454
230	736	2450
231	740	2450
232	744	2451
233	749	2454
234	752	2451
235	760	2460
236	764	2459
237	768	2459
238	772	2458
239	773	2449
240	774	2439
241	775	2429
242	776	2419
243	779	2415
244	784	2416
245	789	2419
246	790	2410
247	793	2405
248	794	2396
